"COEFFICIENT_DEN","DEN_EIGEN1","DEN_EIGEN2","DEN_EIGEN3","DEN_EIGEN4","DEN_EIGEN5","DEN_EIGEN6","DEN_EIGEN7","DEN_EIGEN8","DEN_EIGEN9","DEN_EIGEN10","DEN_EIGEN11","DEN_EIGEN12","DEN_EIGEN13"
1,-2.6560621360544294,-2.3045670011378308,-2.014127350330868,-1.7517409781691833,-1.1021851819160635,-0.8169526379689889,-0.6525689150984956,-0.14812185981809992,0.19948609850116888,1.70776150126555,2.2660114692606736,2.7312198462706303,4.541847145195938
1,-2.3818995312259674,-2.301768157215956,-2.076584116104969,-1.7910136720127883,-0.9999999999999993,-0.6604066770818798,-0.5301163726226539,-0.30977267827413557,0.12910698329674317,1.4283042380441973,2.5334574325162977,2.7751447493080734,4.185547801373039
0,-2.4160877821608087,-2.2950287587122746,-2.0535821877243405,-1.8996884681862716,-1.0925947615695575,-0.7444025149934942,-0.501126563560057,-0.3065502007584955,0.17375547903352168,1.6185580832271829,2.484811460364919,2.6709607770719006,4.360975437967774
1,-2.4293310591414405,-2.3481090991477456,-2.0000000000000027,-1.8810180946584936,-1.4615285392802755,-1.0267205665597319,-0.4535984254293361,-0.3129269800330598,0.2870413206107392,1.8863312333816533,2.145455491057705,2.6855593084222966,4.908845410777685
0,-2.58568037029523,-2.226993120429309,-1.999999999999998,-1.8094331822455796,-1.4412898121907194,-0.7421811964089062,-0.5174275547914422,-0.43032661547596834,0.2425681996372121,1.8915405353170904,2.2240094795830685,2.679747978339419,4.71546565896036
1,-2.4131900537058826,-2.2162996204589636,-1.9999999999999998,-1.8465790554810246,-1.4608881570904897,-0.6980778023261701,-0.5339370341854139,-0.3731162707155037,0.14495140794486655,1.746366540683938,2.429235876642504,2.672259654677705,4.5492745140144315
0,-2.536011554458631,-2.1837988222442024,-2.000000000000001,-1.9359106916732125,-1.4221818357088947,-0.9592800548964827,-0.48613284467254025,-0.12142266867282557,0.17929467979337338,1.839594960664766,2.197855869020958,2.708097992944463,4.719894969903229
0,-2.4499749115921827,-2.4036440488347446,-2.000000000000003,-1.7226684272459813,-1.4353862942564337,-0.9457737429871635,-0.46265229101188166,-0.36727934423380904,0.3258329394486667,1.7986020876023565,2.146503277534215,2.822347802961666,4.694092952615293
1,-2.544789547316543,-2.160306863000883,-1.9999999999999998,-1.937095385282799,-1.3903140905155063,-0.7397315531717878,-0.5722566730926844,-0.2826066860330781,0.30972509094844486,1.9019152179806358,2.197381119222359,2.707587579703744,4.510491790558097
1,-2.5329305895977328,-2.202441934358599,-2.134986254417887,-1.7086631966637749,-1.117292047051739,-0.7213164656065851,-0.5476446620843755,-0.32175160816894294,0.09983552774156515,1.6902569865660346,2.4258448707893803,2.719478946783226,4.351610426069424
0,-2.6388807241347374,-2.3369483331518346,-1.9999999999999998,-1.5384131396043466,-1.454326225897783,-0.7971220599349454,-0.44250435918235037,-0.25353957617910516,0.19998623069534632,1.8873953256016835,1.9904205052974953,2.8635799967410294,4.520352359749547
0,-2.517437104713845,-2.289248599043959,-2.0000000000000013,-1.8444761266070258,-1.4640863689167798,-0.9125327566498241,-0.6143262662071092,-0.13885085458845178,0.14172199609365957,1.656458963636217,2.3955045742468757,2.7071092494902302,4.880163293260017
1,-2.4142071542435106,-2.3054918097356385,-1.9999999999999991,-1.722503879370522,-1.4361453948635865,-0.9266288405063537,-0.4586338037603512,-0.40003003856933167,0.12722306809137676,1.5284564614080134,2.481277967244151,2.824411145717289,4.702272278588462
1,-2.436151184369921,-2.3255348723141687,-2.270454208829243,-1.8622415865042046,-1.1474853282356379,-0.8459490865668413,-0.6359442106101642,-0.23956271915446067,0.1883571108695978,1.7474499366647844,2.1563074582215593,2.7452974558687155,4.925911234959983
0,-2.4575637446911003,-2.322749097176141,-2.2305493085424666,-1.8060536670655145,-1.1725946362842194,-0.7902400147310353,-0.4811066099778991,-0.3957696718361241,0.21654104007997627,1.7161076494741387,2.221046238246668,2.7848927129551257,4.718039109548595
1,-2.456157381418801,-2.291646881341684,-1.9999999999999991,-1.8293483118799008,-1.2381638978618994,-0.7894274764650392,-0.544051806193034,-0.3478608127233705,0.1490306215852545,1.6322463388861725,2.4235815154839644,2.737455364317854,4.554342727610484
1,-2.629607120677632,-2.3076551951951165,-2.060973200307533,-1.7237241415430227,-1.199055185765756,-0.7941343023836931,-0.7759549119989082,-0.08064188712749662,0.1574247376513844,1.7169474597224792,2.220436805848873,2.7362851237888512,4.740651817987575
0,-2.665187364340669,-2.278925218565703,-2.0203909036400756,-1.7984967007878911,-1.192795307398545,-0.7792681186247087,-0.5576856853142645,-0.3011331292978584,0.16403844850570665,1.6870408062207125,2.2352133535530925,2.778129505374001,4.729460314316205
0,-2.6490425777954583,-2.2772716448538817,-2.1207954397965243,-1.7743726963293578,-1.1159492032776352,-0.7983821334321948,-0.5029168356304923,-0.3859528802871314,0.24197215838054417,1.704740919575662,2.1719378925122648,2.7496404061352466,4.756392034798957
0,-2.6097358285251047,-2.2914617919181937,-1.9999999999999998,-1.8504051546516433,-1.136317630384097,-0.7802244407844917,-0.7257375022659107,-0.14719804880965714,0.3453259490399625,1.7480304614621496,2.156780872526835,2.7342464431433138,4.556696671166838
1,-2.6337762403447607,-2.278518859624108,-2.0000000000000027,-1.6742200540369498,-1.4355033310430079,-0.933272313742956,-0.45322686029242204,-0.42267947611459356,0.176561344823268,1.6874948377105456,2.268439970142286,2.8263179555454045,4.872383026977296
1,-2.597302586625917,-2.246905205913399,-1.999999999999998,-1.8221777723200188,-1.5222264070862443,-0.8944102813093754,-0.47500194696734166,-0.2187849718075894,-0.08316101595327065,1.7579491639550588,2.227776117942784,2.8343273981598083,5.0399175079255025
0,-2.446630577959689,-2.257284100038987,-1.9999999999999982,-1.7647829861335258,-1.4951431032081122,-0.8868007649666346,-0.45468068785766796,-0.3185239307013911,-0.1476841949216519,1.5998898949302782,2.401436057262535,2.9007861380971574,4.869418255497687
1,-2.657522571515864,-2.0798563785798745,-2.,-1.926519991380601,-1.4678626401111432,-0.9458391839858024,-0.5474758659221312,-0.24355101578463934,0.018359038913642073,1.7577744433662612,2.12296384809486,2.9507868580261243,5.018743458879171
0,-2.8867928476559137,-2.009853148883805,-1.9999999999999978,-1.5320888862379558,-1.4860752429807929,-0.9118112373853995,-0.42414926135934006,-0.34729635533385994,-0.06480769147799431,1.8639397723109652,1.8793852415718155,3.0740292336480883,4.84552042378419
1,-2.441571172057851,-2.2715276897297714,-2.1728355404173656,-1.7955783125744755,-1.5186704358394327,-1.058676383230926,-0.47841568429670067,-0.22436466450643383,0.1775134695007743,1.8154504726693999,2.1338807500127435,2.7653616987969767,5.069433491673063
1,-2.465233821598721,-2.3115444223964343,-2.,-1.8242905035336476,-1.4960108588417516,-1.0288192393950861,-0.543397934176359,-0.21881054365135696,0.2596615613421251,1.862391385454462,2.0096791496232784,2.8891837093959807,4.867191517777509
0,-2.7322632253777885,-2.3086645215279913,-1.8550071426546284,-1.540225978817487,-1.4759617058132348,-0.9258445445710343,-0.49896270442498974,-0.2239364052632761,0.10184037090524653,1.7460219804860737,2.0446826660577417,2.992902815788347,4.67541839521302
1,-2.597546972495529,-2.313858438842569,-1.883309063088899,-1.825301186971222,-1.5344430395581639,-0.7795785606844591,-0.5603319833910136,-0.21848592955242474,0.062483690803758846,1.702200101754536,2.332043904036674,2.7232254688874895,4.892902009101824
1,-2.3332227797123184,-2.2814199296588127,-2.1461029524030653,-1.745792788916056,-1.4685270773758465,-0.7167738429601948,-0.5314092194242805,-0.22643475333943935,-0.12282072487480088,1.555506509075826,2.5602468377705754,2.753048676798781,4.703702045019632
0,-2.506025283844451,-2.3215186657587306,-2.0000000000000004,-1.8234798179196485,-1.4091668537632522,-1.0312700172283107,-0.42156362245719553,-0.22602658691589997,0.07735817079041614,1.6658573663036667,2.292745474737242,2.846384889874735,4.85670494618143
1,-2.658042495169052,-2.0000000000000004,-1.9999999999999996,-1.9999999999999991,-1.5800968675329443,-1.0000000000000002,-0.7320508075688767,-5.832504551113011e-16,2.250483842561089e-16,1.9999999999999993,2.,2.7320508075688767,5.238139362701992
1,-2.628964233082044,-2.1482313290943362,-2.0000000000000004,-1.7793689370512962,-1.5602501546404806,-1.0000000000000018,-0.8819245415821348,-0.0366342631624054,0.29396953432953815,1.8827887518994395,2.1197566414694045,2.6397267768054045,5.099131754108912
1,-2.6694210059612016,-2.301796537547317,-1.999999999999999,-1.5634596603082558,-1.273646318738994,-1.0000000000000002,-0.9132365046362869,-0.16870697062693055,0.2613628217022725,1.7587514704369092,2.2762084853632993,2.68561180767531,4.908332412641196
1,-2.520604500030509,-2.2605698943106924,-2.,-1.6392867269411848,-1.2106191010807712,-0.9999999999999996,-0.8701966332072498,-0.18846837916758136,0.13591422982202725,1.5955713871664226,2.5262432534703567,2.7092571475312086,4.722759216747975
