COEFFICIENTS,EV_DEN,EV_FGRAPH
0,"[-2.48826337 -2.15577342 -1.86419824 -1.51917638 -1.         -0.56241595
 -0.35512533  0.92566759  1.9122146   2.51262745  4.59444304]","[-3.18192530e+00 -2.35216268e+00 -1.89806204e+00 -8.94109083e-01
 -7.72347421e-01 -3.77799086e-01 -3.02761356e-16  5.26215707e-01
  1.42808814e+00  2.24546307e+00  5.27663869e+00]"
-1,"[-2.48826337 -2.15577342 -1.86419824 -1.51917638 -1.         -0.56241595
 -0.35512533  0.92566759  1.9122146   2.51262745  4.59444304]","[-2.74861674 -2.09347848 -1.70828034 -1.43961173 -0.89406162 -0.74295704
 -0.21807688  0.37450383  1.42808018  2.76580096  5.27669786]"
0,"[-2.49146846 -2.         -1.93834068 -1.76333562 -1.         -0.54983411
 -0.33728184  1.05179685  1.66457819  2.55955966  4.80432601]","[-2.68458187 -2.4934414  -1.62548244 -1.35777402 -1.14059074 -0.41152978
 -0.14255082  0.50668235  1.11034022  2.51169437  5.72723414]"
1,"[-2.35117207 -2.         -1.82166377 -1.81586919 -1.2754174  -0.84616909
 -0.42869764  1.48819977  1.89321902  2.17963309  4.97793728]","[-2.59828348 -2.17645117 -1.9288815  -1.55764858 -1.13406871 -0.60160028
 -0.25106233  0.23320544  1.84937552  2.10249459  6.06292051]"
1,"[-2.35117207 -2.         -1.82166377 -1.81586919 -1.2754174  -0.84616909
 -0.42869764  1.48819977  1.89321902  2.17963309  4.97793728]","[-2.93211877 -2.24047297 -1.84284496 -1.25765399 -1.         -0.61807533
 -0.21849458  0.41193608  1.39629357  2.22727751  6.07415345]"
0,"[-2.35117207 -2.         -1.82166377 -1.81586919 -1.2754174  -0.84616909
 -0.42869764  1.48819977  1.89321902  2.17963309  4.97793728]","[-3.16385055e+00 -2.71338646e+00 -1.57260671e+00 -1.20429728e+00
 -7.64994005e-01 -3.19119463e-01 -2.05402720e-16  5.78160685e-01
  1.42738143e+00  1.65864251e+00  6.07406983e+00]"
0,"[-2.35117207 -2.         -1.82166377 -1.81586919 -1.2754174  -0.84616909
 -0.42869764  1.48819977  1.89321902  2.17963309  4.97793728]","[-2.86619826e+00 -2.14321958e+00 -2.00000000e+00 -1.39489424e+00
 -1.00000000e+00 -5.89867306e-01  1.52881976e-16  2.10755881e-01
  1.65544238e+00  2.05390375e+00  6.07407737e+00]"
-1,"[-2.35117207 -2.         -1.82166377 -1.81586919 -1.2754174  -0.84616909
 -0.42869764  1.48819977  1.89321902  2.17963309  4.97793728]","[-2.30538788 -2.22334156 -1.79938113 -1.73622532 -0.8619193  -0.7476568
 -0.55806216  0.12544154  1.3689364   2.66382846  6.07376775]"
1,"[-2.35117207 -2.         -1.82166377 -1.81586919 -1.2754174  -0.84616909
 -0.42869764  1.48819977  1.89321902  2.17963309  4.97793728]","[-3.28894625 -2.16873598 -1.79941208 -1.         -1.         -0.76938508
 -0.48349578  0.11994171  1.96257144  2.33774053  6.0897215 ]"
1,"[-2.35117207 -2.         -1.82166377 -1.81586919 -1.2754174  -0.84616909
 -0.42869764  1.48819977  1.89321902  2.17963309  4.97793728]","[-2.46947526 -2.22334156 -1.85010358 -1.79938113 -0.87578704 -0.8619193
 -0.55806216  1.04694518  1.3689364   2.1484207   6.07376775]"
0,"[-2.35117207 -2.         -1.82166377 -1.81586919 -1.2754174  -0.84616909
 -0.42869764  1.48819977  1.89321902  2.17963309  4.97793728]","[-3.34889422 -2.39593186 -1.79941208 -1.         -1.         -0.76938508
 -0.48349578  1.          1.74482608  1.96257144  6.0897215 ]"
-1,"[-2.33612491 -2.         -1.89093422 -1.7097946  -1.20932602 -0.86017007
 -0.40537893  1.59675     1.87869319  2.1374157   4.79886987]","[-2.90879827 -2.         -1.84723665 -1.50007522 -1.12309908 -0.57766854
 -0.28321051  0.8480494   1.64086642  2.03858385  5.7125886 ]"
0,"[-2.33612491 -2.         -1.89093422 -1.7097946  -1.20932602 -0.86017007
 -0.40537893  1.59675     1.87869319  2.1374157   4.79886987]","[-2.68977169 -2.2852523  -1.66521622 -1.36757896 -1.2570312  -0.64345545
 -0.37776971  0.88952651  1.33137822  2.3480461   5.71712469]"
-1,"[-2.33612491 -2.         -1.89093422 -1.7097946  -1.20932602 -0.86017007
 -0.40537893  1.59675     1.87869319  2.1374157   4.79886987]","[-2.81230301 -2.31791834 -2.18054526 -1.30665592 -0.7735024  -0.45719788
 -0.20019501  0.94499179  1.46438619  1.9228245   5.71611535]"
1,"[-2.27969323 -2.23606798 -1.73205081 -1.64229608 -1.         -1.
 -0.34839278  1.66453828  1.73205081  2.23606798  4.60584381]","[-2.67513087e+00 -2.24859446e+00 -2.00000000e+00 -1.53918887e+00
 -1.00000000e+00 -5.99692541e-01 -7.25819196e-16  1.21431974e+00
  1.53540391e+00  2.00000000e+00  5.31288308e+00]"
